run_id,branch,model,units,dropout,dense_units,lr,batch_size,epochs,train_accuracy,train_f1,val_accuracy,val_f1
1,None,DNN,64,0.3,64,0.001,64,6,0.963406329,0.9593672,0.931370495,0.922270341
2,None,DNN,128,0.5,64,0.001,32,8,0.959424769,0.954969521,0.932418273,0.923036903
3,None,DNN,128,0.2,128,0.001,32,10,0.966733026,0.962962002,0.93110855,0.920666403
4,None,DNN,32,0.6,32,0.0005,128,4,0.968343986,0.964734446,0.933675608,0.924599601
5,None,DNN,64,0.4,128,0.005,64,5,0.977734702,0.97576994,0.933466052,0.92392714
6,None,DNN,32,0.55,32,0.0005,128,5,0.973006601,0.970186253,0.933885163,0.924239177
7,None,DNN,48,0.5,64,0.0005,128,5,0.963930218,0.95963563,0.932208718,0.922617434
8,None,DNN,64,0.45,64,0.001,64,6,0.976935771,0.97458582,0.936295054,0.927533742
9,None,SimpleRNN,64,0.3,64,0.001,64,6,0.729398051,0.599164681,0.733235541,0.598639939
10,None,SimpleRNN,128,0.5,64,0.001,32,8,0.329081098,0.145050436,0.325754401,0.141610798
11,None,SimpleRNN,128,0.2,128,0.001,32,10,0.881587909,0.863661488,0.877252724,0.856836415
12,None,SimpleRNN,32,0.6,32,0.0005,128,4,0.548499057,0.458250606,0.544163873,0.453997594
13,None,SimpleRNN,64,0.4,128,0.005,64,5,0.320489313,0.121352483,0.319205784,0.120984075
14,None,SimpleRNN,48,0.35,64,0.001,64,6,0.576736693,0.38611835,0.580626572,0.386958672
15,None,SimpleRNN,64,0.3,64,0.001,64,6,0.569284367,0.393990171,0.572873009,0.394991644
16,None,SimpleRNN,96,0.4,32,0.0005,128,5,0.891410834,0.879312503,0.886997066,0.872805922
17,None,LSTM,64,0.3,64,0.001,64,6,0.928423617,0.91823033,0.920840319,0.909352592
18,None,LSTM,128,0.5,64,0.001,32,8,0.944847548,0.936145966,0.930217938,0.919390597
19,None,LSTM,128,0.2,128,0.001,32,10,0.96491251,0.959753162,0.935194887,0.925228759
20,None,LSTM,32,0.6,32,0.0005,128,4,0.908659891,0.896833459,0.906747695,0.893447286
21,None,LSTM,64,0.4,128,0.005,64,5,0.938521584,0.929603489,0.923459765,0.911831314
22,None,LSTM,96,0.2,128,0.001,32,10,0.948069468,0.940798449,0.928331936,0.918087542
23,None,LSTM,128,0.2,128,0.001,32,10,0.951094929,0.943765824,0.930060771,0.919679535
24,None,LSTM,128,0.25,64,0.0005,32,8,0.93674036,0.927547512,0.925398156,0.913815619
25,None,GRU,64,0.3,64,0.001,64,6,0.933675608,0.924738912,0.924140821,0.913154082
26,None,GRU,128,0.5,64,0.001,32,8,0.954277557,0.947328857,0.928489103,0.918262512
27,None,GRU,128,0.2,128,0.001,32,10,0.952601111,0.944075802,0.930270327,0.917999027
28,None,GRU,32,0.6,32,0.0005,128,4,0.911344824,0.900220912,0.907795474,0.895004837
29,None,GRU,64,0.4,128,0.005,64,5,0.941494656,0.933462177,0.923302598,0.912817953
30,None,GRU,96,0.2,128,0.001,32,10,0.961258382,0.954573395,0.933204107,0.922517959
31,None,GRU,128,0.2,128,0.001,32,10,0.966327012,0.960457516,0.932051551,0.921076961
32,None,GRU,128,0.25,64,0.0005,32,8,0.93972653,0.931425607,0.925660101,0.915240863
33,None,Bi_SimpleRNN,64,0.3,64,0.001,64,6,0.898064229,0.882863961,0.894593462,0.876932027
34,None,Bi_SimpleRNN,128,0.5,64,0.001,32,8,0.886577955,0.870075414,0.883748952,0.864111416
35,None,Bi_SimpleRNN,128,0.2,128,0.001,32,10,0.86292435,0.849263699,0.861745599,0.845827071
36,None,Bi_SimpleRNN,32,0.6,32,0.0005,128,4,0.884626467,0.87193131,0.881915339,0.867225684
37,None,Bi_SimpleRNN,64,0.4,128,0.005,64,5,0.582604254,0.437989131,0.586336966,0.440240623
38,None,Bi_SimpleRNN,48,0.35,64,0.001,64,6,0.895916282,0.881914971,0.892864627,0.876683723
39,None,Bi_SimpleRNN,64,0.3,64,0.001,64,6,0.894672045,0.882225959,0.892812238,0.87856693
40,None,Bi_SimpleRNN,96,0.4,32,0.0005,128,5,0.899819258,0.886515077,0.89569363,0.879899523
41,None,Bi_LSTM,64,0.3,64,0.001,64,6,0.930623952,0.921358254,0.921835708,0.911093807
42,None,Bi_LSTM,128,0.5,64,0.001,32,8,0.947257439,0.938970442,0.932208718,0.921579733
43,None,Bi_LSTM,128,0.2,128,0.001,32,10,0.968343986,0.963358554,0.935299665,0.925783625
44,None,Bi_LSTM,32,0.6,32,0.0005,128,4,0.911763935,0.901380448,0.907795474,0.895478034
45,None,Bi_LSTM,64,0.4,128,0.005,64,5,0.932627829,0.922853722,0.921416597,0.909626981
46,None,Bi_LSTM,96,0.2,128,0.001,32,10,0.957866199,0.95079263,0.931632439,0.921340473
47,None,Bi_LSTM,128,0.2,128,0.001,32,10,0.938207251,0.929344828,0.928069992,0.917543076
48,None,Bi_LSTM,128,0.25,64,0.0005,32,8,0.946615675,0.936856679,0.927546102,0.914498412
49,None,Bi_GRU,64,0.3,64,0.001,64,6,0.93981821,0.931041044,0.927493713,0.916890403
50,None,Bi_GRU,128,0.5,64,0.001,32,8,0.945332146,0.936205486,0.928855826,0.918084197
51,None,Bi_GRU,128,0.2,128,0.001,32,10,0.954604987,0.947481945,0.931370495,0.92121087
52,None,Bi_GRU,32,0.6,32,0.0005,128,4,0.910061295,0.897272886,0.906904862,0.892184118
53,None,Bi_GRU,64,0.4,128,0.005,64,5,0.947650356,0.940042091,0.928122381,0.917317211
54,None,Bi_GRU,96,0.2,128,0.001,32,10,0.950531748,0.942945605,0.930846605,0.920462801
55,None,Bi_GRU,128,0.2,128,0.001,32,10,0.955338433,0.948542393,0.932627829,0.922140008
56,None,Bi_GRU,128,0.25,64,0.0005,32,8,0.957695935,0.950937048,0.932680218,0.922251476
