run_id,branch,model,units,dropout,dense_units,lr,batch_size,epochs,train_accuracy,train_f1,val_accuracy,val_f1
1,Optimum,DNN,64,0.3,64,0.001,64,6,0.963917121,0.959973911,0.930008382,0.920497566
2,Optimum,DNN,128,0.5,64,0.001,32,8,0.975167645,0.972951773,0.933675608,0.923737791
3,Optimum,DNN,128,0.2,128,0.001,32,10,0.967427179,0.964015897,0.932523051,0.922500992
4,Optimum,DNN,32,0.6,32,0.0005,128,4,0.968422569,0.965164258,0.930637049,0.920085697
5,Optimum,DNN,64,0.4,128,0.005,64,5,0.977381077,0.975454355,0.932261106,0.922338363
6,Optimum,DNN,32,0.55,32,0.0005,128,5,0.966012678,0.962217144,0.932156329,0.922173232
7,Optimum,DNN,48,0.5,64,0.0005,128,5,0.975298617,0.972867984,0.934094719,0.92496184
8,Optimum,DNN,64,0.45,64,0.001,64,6,0.974709241,0.972323933,0.934775775,0.925552981
9,Optimum,SimpleRNN,64,0.3,64,0.001,64,6,0.401810038,0.314243011,0.406223806,0.317551371
10,Optimum,SimpleRNN,128,0.5,64,0.001,32,8,0.781564334,0.641770194,0.785310142,0.642087642
11,Optimum,SimpleRNN,128,0.2,128,0.001,32,10,0.769829212,0.738273652,0.76178751,0.72919561
12,Optimum,SimpleRNN,32,0.6,32,0.0005,128,4,0.573252829,0.363040174,0.575911567,0.364368194
13,Optimum,SimpleRNN,64,0.4,128,0.005,64,5,0.549821878,0.41297512,0.539763202,0.399694937
14,Optimum,SimpleRNN,48,0.35,64,0.001,64,6,0.517576488,0.329098072,0.521007963,0.330527058
15,Optimum,SimpleRNN,64,0.3,64,0.001,64,6,0.630618713,0.490128996,0.635163453,0.492371838
16,Optimum,SimpleRNN,96,0.4,32,0.0005,128,5,0.847417225,0.827304893,0.850220034,0.828483622
17,Optimum,LSTM,64,0.3,64,0.001,64,6,0.927257963,0.918565757,0.91926865,0.908799939
18,Optimum,LSTM,128,0.5,64,0.001,32,8,0.944821354,0.937775195,0.927284158,0.916667089
19,Optimum,LSTM,128,0.2,128,0.001,32,10,0.962476425,0.957241975,0.934199497,0.924556579
20,Optimum,LSTM,32,0.6,32,0.0005,128,4,0.910061295,0.899731254,0.906747695,0.895346819
