run_id,branch,model,units,dropout,dense_units,lr,batch_size,epochs,train_accuracy,train_f1,val_accuracy,val_f1
1,Extreme,DNN,64,0.3,64,0.001,64,6,0.976163034,0.973944618,0.929851215,0.919695179
2,Extreme,DNN,128,0.5,64,0.001,32,8,0.969653709,0.966582228,0.93011316,0.919857819
3,Extreme,DNN,128,0.2,128,0.001,32,10,0.9597522,0.955270399,0.926393546,0.915680895
4,Extreme,DNN,32,0.6,32,0.0005,128,4,0.953373847,0.948226561,0.922988265,0.911759331
5,Extreme,DNN,64,0.4,128,0.005,64,5,0.954526404,0.949399656,0.925031433,0.913794579
6,Extreme,DNN,32,0.55,32,0.0005,128,5,0.965135163,0.961432042,0.926026823,0.914677892
7,Extreme,DNN,48,0.5,64,0.0005,128,5,0.9682785,0.965191222,0.927074602,0.916256326
8,Extreme,DNN,64,0.45,64,0.001,64,6,0.970426446,0.967586839,0.930375105,0.920142521
9,Extreme,SimpleRNN,64,0.3,64,0.001,64,6,0.882033215,0.866073548,0.878981559,0.860707367
10,Extreme,SimpleRNN,128,0.5,64,0.001,32,8,0.727564438,0.679579752,0.729882649,0.678806652
11,Extreme,SimpleRNN,128,0.2,128,0.001,32,10,0.663283215,0.568853166,0.659629086,0.566679279
12,Extreme,SimpleRNN,32,0.6,32,0.0005,128,4,0.579395432,0.387446731,0.583822297,0.38782616
13,Extreme,SimpleRNN,64,0.4,128,0.005,64,5,0.321013202,0.122722552,0.319834451,0.122394093
14,Extreme,SimpleRNN,48,0.35,64,0.001,64,6,0.559094719,0.353606767,0.561452221,0.354335499
15,Extreme,SimpleRNN,64,0.3,64,0.001,64,6,0.773103521,0.631543179,0.779075859,0.63378281
16,Extreme,SimpleRNN,96,0.4,32,0.0005,128,5,0.885045578,0.871119056,0.885111065,0.869901104
17,Extreme,LSTM,64,0.3,64,0.001,64,6,0.923158529,0.914318163,0.915706203,0.905533438
18,Extreme,LSTM,128,0.5,64,0.001,32,8,0.933295788,0.924256938,0.922621542,0.911607549
19,Extreme,LSTM,128,0.2,128,0.001,32,10,0.940787406,0.932925821,0.927074602,0.917019804
20,Extreme,LSTM,32,0.6,32,0.0005,128,4,0.906315486,0.896055072,0.904809304,0.893795671
21,Extreme,LSTM,64,0.4,128,0.005,64,5,0.93034891,0.92173624,0.916911148,0.906297681
22,Extreme,LSTM,96,0.2,128,0.001,32,10,0.950020956,0.943419308,0.928593881,0.91858299
23,Extreme,LSTM,128,0.2,128,0.001,32,10,0.950086442,0.943427426,0.926812657,0.916283139
24,Extreme,LSTM,128,0.25,64,0.0005,32,8,0.931619342,0.923217102,0.920002096,0.909687094
25,Extreme,GRU,64,0.3,64,0.001,64,6,0.929340423,0.919723793,0.919740151,0.908667835
26,Extreme,GRU,128,0.5,64,0.001,32,8,0.943433047,0.935438437,0.925293378,0.914578599
27,Extreme,GRU,128,0.2,128,0.001,32,10,0.943590214,0.935380331,0.925660101,0.914442526
28,Extreme,GRU,32,0.6,32,0.0005,128,4,0.905424874,0.894676548,0.902242246,0.890324043
29,Extreme,GRU,64,0.4,128,0.005,64,5,0.94512259,0.937825523,0.924088433,0.913666036
30,Extreme,GRU,96,0.2,128,0.001,32,10,0.946013202,0.937545638,0.925660101,0.91413466
31,Extreme,GRU,128,0.2,128,0.001,32,10,0.949876886,0.942601758,0.925345767,0.914437912
32,Extreme,GRU,128,0.25,64,0.0005,32,8,0.941062448,0.932820835,0.923774099,0.912784257
33,Extreme,Bi_SimpleRNN,64,0.3,64,0.001,64,6,0.907533529,0.895959785,0.902347024,0.889555727
34,Extreme,Bi_SimpleRNN,128,0.5,64,0.001,32,8,0.896086547,0.881229387,0.89417435,0.878251781
35,Extreme,Bi_SimpleRNN,128,0.2,128,0.001,32,10,0.896086547,0.885369304,0.893912406,0.881746234
36,Extreme,Bi_SimpleRNN,32,0.6,32,0.0005,128,4,0.897736798,0.886625884,0.896741408,0.884562236
37,Extreme,Bi_SimpleRNN,64,0.4,128,0.005,64,5,0.867469091,0.853914565,0.86614627,0.851385784
38,Extreme,Bi_SimpleRNN,48,0.35,64,0.001,64,6,0.901548093,0.889456228,0.898103521,0.884904202
39,Extreme,Bi_SimpleRNN,64,0.3,64,0.001,64,6,0.898745285,0.886786874,0.898575021,0.885849138
40,Extreme,Bi_SimpleRNN,96,0.4,32,0.0005,128,5,0.907127515,0.89625751,0.900775356,0.888507131
41,Extreme,Bi_LSTM,64,0.3,64,0.001,64,6,0.932837385,0.924798841,0.920578374,0.910657444
42,Extreme,Bi_LSTM,128,0.5,64,0.001,32,8,0.943550922,0.935728591,0.926969824,0.916088877
43,Extreme,Bi_LSTM,128,0.2,128,0.001,32,10,0.952483236,0.945627651,0.928227158,0.917946215
44,Extreme,Bi_LSTM,32,0.6,32,0.0005,128,4,0.91164606,0.901822431,0.908057418,0.896393041
